id,username,article_topic_id,content,name
1,amelia.k,13,"Pemberian ASI eksklusif selama enam bulan pertama sangat krusial untuk membangun sistem kekebalan tubuh bayi yang kuat.","Pentingnya ASI Eksklusif untuk Kekebalan Bayi"
2,ivan_x,80,"Telemedicine kini semakin mudah diakses. Pastikan Anda memiliki koneksi internet stabil dan mencatat semua gejala sebelum memulai sesi konsultasi online.","Panduan Efektif Melakukan Konsultasi Online"
3,diana.m,23,"Menjaga kesehatan jantung bisa dimulai dengan mengurangi konsumsi garam berlebih dan rutin melakukan aktivitas fisik minimal 30 menit sehari.","Langkah Sederhana Mencegah Penyakit Jantung"
4,karen.t,5,"Stres akibat beban kerja berlebih dapat memicu masalah fisik. Jangan ragu untuk mengambil waktu istirahat dan berkonsultasi dengan profesional jika merasa kewalahan.","Mengenali Tanda Burnout dan Cara Mengatasinya"
5,olivia.p,40,"Mencuci wajah dua kali sehari dan menggunakan tabir surya adalah kunci utama untuk mencegah penuaan dini dan masalah kulit lainnya.","Rutinitas Skincare Dasar yang Wajib Anda Tahu"
6,reza_h,64,"Setiap rumah tangga wajib memiliki kotak P3K yang berisi perban, cairan antiseptik, obat pereda nyeri, dan termometer untuk keadaan darurat.","Daftar Isi Kotak P3K Wajib di Rumah"
7,amelia.k,19,"Vaksinasi tidak hanya melindungi individu yang divaksin, tetapi juga membantu menciptakan kekebalan kelompok (herd immunity) di masyarakat sekitar.","Memahami Konsep Herd Immunity dari Vaksinasi"
8,diana.m,25,"Penderita diabetes tetap bisa menikmati makanan manis asalkan porsinya ditakar dengan sangat hati-hati dan mengutamakan pemanis alami.","Mitos dan Fakta Seputar Diet Pasien Diabetes"
9,karen.t,10,"Rasa haus sebenarnya adalah tanda awal dehidrasi. Pastikan Anda minum air putih secara berkala bahkan sebelum merasa haus, terutama di cuaca panas.","Bahaya Dehidrasi Tersembunyi di Musim Kemarau"
10,olivia.p,45,"Menyikat gigi sebelum tidur sangat penting karena produksi air liur berkurang saat kita tidur, membuat bakteri lebih mudah berkembang biak.","Alasan Mengapa Sikat Gigi Malam Pantang Dilewatkan"
